screen_name,friends_count,tweets_count,linkedin,snapchat,instagram,facebook,followers_count,favourites_count,qtyMentions,qtyHashtags,qtyUrls,qtyEmojis,profile_pic_gender,age
eapesteguia,1566,36303,False,False,False,False,14685,4218,0.79,0.62,0.67,1.24,1,25-34
francoarroyo6,608,16935,False,True,True,False,707,4234,0.38,0.01,0.22,0.13,1,18-24
alexandraaberr,338,155,False,False,False,False,158,51,0.58,0.53,0.34,0.09,2,18-24
damianloyarte,56812,98703,False,False,True,True,105900,266,0.65,0.07,0.1,0.73,0,18-24
al3xm4cie1,89,1635,False,False,True,False,118,2314,0.42,0.04,0.13,1.14,1,18-24
soozmoody,174,2333,False,False,False,False,1358,59,1.0,0.26,0.21,0.07,2,35-49
jessicapr1202,560,44681,False,False,True,False,1160,2937,0.15,0.0,0.12,0.09,2,10-17
marianoaguus,687,2178,False,True,True,False,318,1623,0.49,0.16,0.2,0.26,1,18-24
sboxcoaching,1724,3325,False,False,False,False,1214,293,0.07,0.23,0.78,0.74,0,35-49
ariel_voyager,153,449,False,False,False,True,33,188,0.04,0.01,0.04,0.28,1,18-24
arielchampanier,333,4307,False,False,False,False,1236,262,0.31,0.01,0.16,0.03,1,10-17
laurazalazar3,435,6146,False,False,False,False,315,2867,0.12,0.0,0.04,2.6,2,18-24
hector_cabrera_,216,647,False,False,False,False,242,85,0.83,0.52,0.57,0.04,1,35-49
federiicogrosso,441,4643,False,False,False,False,226,982,0.25,0.26,0.07,0.01,1,25-34
orianamanfredo,1065,21425,False,False,False,True,996,4103,0.27,0.01,0.01,0.64,2,18-24
rubiaaaenana,3603,26963,False,False,True,True,3411,6438,0.05,0.01,0.04,0.88,0,10-17
ezefretes,812,2375,False,False,False,False,9386,718,0.91,0.1,0.17,0.02,1,10-17
gastton6,399,10641,False,False,True,False,732,1828,0.12,0.0,0.09,0.4,1,18-24
sofi_devega,545,32807,False,False,True,False,1016,12983,0.41,0.03,0.17,1.2,0,18-24
emoragues,947,1456,False,False,False,False,571,17378,0.87,0.42,0.13,0.12,1,35-49
vittodevitt,264,21550,False,True,False,False,282,3175,0.49,0.0,0.08,0.41,0,18-24
ayllonmiguel,509,15078,False,False,False,False,698,5053,0.07,0.01,0.0,1.22,1,18-24
lopeznic4,299,4114,False,False,False,False,501,4090,0.76,0.01,0.26,0.92,0,18-24
marinoni22,117,4627,False,False,False,True,166,1047,0.27,0.09,0.01,0.02,0,18-24
sfourcade14,612,72085,False,False,False,False,960,3199,0.68,0.02,0.11,0.26,0,18-24
carlos___g,331,5402,False,True,False,False,332,2345,0.07,0.0,0.03,0.11,1,18-24
marcelo_pedrozo,3197,1787,False,False,True,False,500,4420,0.8,0.13,0.05,1.05,1,18-24
micaelareinak,766,83324,False,False,False,False,938,17403,0.0,0.0,0.07,0.5,0,18-24
peer_fede,1620,41982,False,False,True,True,2208,25564,0.36,0.02,0.09,0.11,1,18-24
kicorangel,939,4823,False,False,False,False,1336,562,0.57,0.23,0.41,0.26,1,35-49
alvarezfiorelaa,563,20092,False,False,False,True,610,2055,0.29,0.06,0.09,0.53,2,18-24
lutxana,1036,20530,False,False,False,False,1280,12702,1.05,1.14,0.82,0.16,2,25-34
sebasmuriel,7968,53151,False,False,False,False,17912,2,0.68,0.12,0.82,0.31,1,35-49
florenciapolero,193,16032,False,True,True,False,292,2734,0.06,0.0,0.07,0.5,2,18-24
abel_ez,221,26023,False,False,False,False,1628,0,0.94,0.16,0.17,0.1,0,10-17
gabrielf0rmento,236,6342,False,False,False,True,216,2783,0.2,0.01,0.01,0.21,1,18-24
emi_difabio,319,12685,False,True,False,False,1027,6053,0.17,0.1,0.06,0.61,0,18-24
projaok,28,2185,False,False,True,False,893,179,0.13,1.12,0.03,0.42,0,10-17
yamilafajar,2605,48606,False,False,False,False,3161,30117,0.03,0.01,0.03,0.77,0,18-24
yorugua16,1548,4774,False,False,False,False,801,1664,0.74,0.12,0.22,0.08,1,18-24
ezequielherraiz,266,3470,True,False,False,False,297,486,0.66,0.26,0.37,0.14,0,10-17
laluarodriguez,496,81450,False,False,False,False,1330,20864,0.33,0.0,0.03,0.65,0,18-24
nicouuss,47,2273,False,False,False,False,88,3859,1.37,0.17,0.17,0.22,0,18-24
t_belen98,784,15777,False,False,True,False,895,22382,0.23,0.0,0.07,0.83,0,18-24
s4nz1b0lud0,3534,9505,False,False,True,False,1508,20149,1.2,0.07,0.03,0.34,2,10-17
juampipak,707,8136,False,True,True,False,882,6179,0.87,0.01,0.11,0.25,1,18-24
chapoypati,255,49388,False,False,False,False,922737,11039,0.22,0.05,0.63,0.17,0,50-64
braiinacuraok,765,23408,False,True,True,True,717,1080,0.16,0.01,0.03,0.66,0,18-24
el_huno,534,2890,False,False,False,False,307,538,0.24,0.19,0.78,0.04,1,25-34
nicolasrezano,67,26,False,False,False,False,338,2753,0.08,0.0,0.42,0.33,0,18-24
chgarciacortes,1241,5565,False,False,False,False,126882,88,0.78,0.13,0.19,1.21,0,50-64
giulianatrigo,1090,37307,False,False,False,False,1261,6790,0.11,0.0,0.09,0.95,2,18-24
luismiguelcas,1419,8914,False,False,False,False,806,422,1.04,0.47,0.43,0.06,1,35-49
maurivilaa,157,4072,False,False,False,False,195,947,0.2,0.0,0.06,0.07,1,10-17
daiogarcia2,1009,17975,False,False,True,True,1549,20076,0.57,0.19,0.18,0.65,0,18-24
milii1224,309,15257,False,False,False,False,304,2864,0.09,0.04,0.04,1.26,2,18-24
agustinquevedo_,333,15170,False,False,True,False,346,7244,0.38,0.01,0.16,0.08,0,18-24
mmmendieta,502,13220,False,False,False,False,2975,9876,1.13,0.08,0.38,0.13,0,25-34
espinosa_albert,462,14010,False,False,False,False,204601,23385,0.77,0.11,0.14,0.72,1,35-49
fedecaetano_1,794,20523,False,False,False,True,984,12013,0.5,0.03,0.08,0.26,1,18-24
alanpachecooo,1335,131073,False,False,True,False,2919,4008,0.43,0.0,0.05,0.77,1,18-24
mercardinali,680,687,False,False,False,True,692,3139,0.68,0.63,0.09,1.12,0,18-24
coqqoo,772,20225,False,False,False,False,5493,714,0.14,0.08,0.02,0.09,0,18-24
fecheblanco,731,16588,False,False,True,True,333,35133,0.19,0.1,0.21,0.53,0,18-24
mmendizabal1,852,7052,False,False,False,False,129904,288,0.53,0.23,0.58,0.15,2,35-49
ivandjdv,694,4313,False,False,False,False,470,867,0.21,0.12,0.07,0.51,1,10-17
sebagarate_,409,7058,False,False,False,False,634,2546,0.22,0.0,0.01,0.21,1,10-17
marcefrontale,719,264,False,False,False,False,57021,11,0.6,0.16,0.17,0.02,1,25-34
segundaopor,119,299,False,False,False,True,66,44,0.18,0.54,0.81,0.03,0,25-34
perejoanmitjans,448,4639,False,False,False,False,480,1039,0.78,0.19,0.48,0.08,1,50-64
damiantwr,263,284,False,False,False,False,188,540,0.66,0.21,0.07,0.03,2,35-49
nicolasedlp01,403,21579,False,False,False,True,391,8550,0.04,0.0,0.05,0.44,0,10-17
zarazaga_luis,284,192,False,False,False,False,76,4,1.13,0.0,0.08,0.01,1,65-xx
facumeneses,1633,4209,False,False,False,False,1707,7276,0.23,0.01,0.16,0.07,0,18-24
claulpez19,1014,13328,False,True,True,False,944,4844,0.04,0.04,0.04,0.48,1,18-24
valentinaaa1297,332,17150,False,False,False,False,396,4087,0.07,0.0,0.07,0.48,0,18-24
gonzamederos1,118,18169,False,True,True,False,600,3596,0.23,0.0,0.06,0.12,1,10-17
lautaurtiaga,59,112,False,False,False,False,50,35,0.57,0.15,0.47,0.25,0,18-24
nahubacigaluppi,1469,7424,False,False,True,False,1544,6138,1.84,0.85,0.15,0.48,0,10-17
julietabolullo,2076,19147,False,False,False,False,2751,4257,0.8,0.57,0.35,1.17,0,25-34
nikysemeria,414,23325,False,False,True,False,580,8524,0.07,0.0,0.23,0.38,2,18-24
facuduarte1902,217,1838,False,False,True,False,247,386,0.17,0.03,0.13,0.58,0,10-17
breenagustina1,359,2402,False,True,True,False,76,2037,0.24,0.01,0.03,0.74,2,10-17
fjaureguic,6535,16579,False,False,False,False,24789,39,1.11,0.01,0.37,0.05,0,50-64
bettiaguilera,636,7148,False,False,False,False,404,2937,0.03,0.01,0.03,0.88,0,10-17
mauriciozarauz,2153,4760,False,False,False,False,1080,3592,0.52,0.25,0.35,0.04,1,18-24
andrecaprani,664,8938,False,False,False,False,356,1949,0.3,0.5,0.27,0.46,0,25-34
airee97,612,41660,False,False,True,False,420,38357,0.1,0.04,0.01,0.59,1,18-24
lucaslepera9,931,464,False,False,True,False,747,430,0.58,0.27,0.04,0.36,0,10-17
caciquepaiva09,234,2940,False,True,True,True,593,2859,0.11,0.02,0.02,0.21,0,18-24
juaniruss,477,8697,False,False,False,False,987,1376,0.08,0.14,0.1,0.53,0,18-24
lauu00,603,35566,False,False,False,False,659,15980,0.21,0.0,0.17,0.73,2,10-17
pfcdgayo,742,7170,False,False,False,False,1305,10030,1.06,0.02,0.17,0.2,1,35-49
ezeedominguezz,8046,45743,False,False,True,False,13439,18294,0.38,0.05,0.11,0.45,1,18-24
roburato1,649,4371,False,False,False,False,480,1157,0.11,0.16,0.0,1.1,2,18-24
fbflorchus,1942,719,False,False,True,True,810,29,0.01,0.05,0.92,1.42,2,18-24
etnika,671,6291,False,False,False,False,987,742,0.47,0.47,0.22,0.42,2,25-34
norberto1956,251,3723,False,False,False,False,574,4194,1.35,0.01,0.16,0.06,1,50-64
10iriondo,893,43294,False,False,False,False,1220,15353,0.22,0.0,0.04,0.16,0,10-17
alemandra19,291,6275,False,False,False,True,229,2817,0.19,0.01,0.07,0.45,0,18-24
chicabostera1,2755,8522,False,False,False,False,1212,13846,2.06,0.28,0.01,2.45,0,25-34
alejandroide_25,1249,81375,False,False,False,False,855,2610,0.47,0.27,0.26,0.55,0,25-34
abriltarres,1236,4198,False,True,False,False,762,1842,0.31,0.0,0.01,0.63,0,10-17
alvarogarciap90,720,6450,False,False,False,False,276,1037,0.79,0.07,0.07,0.08,0,18-24
rtafernaberry,980,1536,False,False,False,False,3186,11310,0.49,0.12,0.24,0.08,1,18-24
daniel_a_gamboa,1027,9264,False,False,False,False,276,1034,0.47,0.19,0.74,0.07,1,25-34
jjoacosala_2_5,132,340,False,False,True,False,10,440,1.77,0.04,0.02,0.21,2,10-17
mirtha4620,385,226,False,False,False,False,47,758,1.5,0.04,0.04,0.04,0,65-xx
dangaer,33,15994,False,False,False,False,213,349,0.39,0.0,0.45,0.03,1,25-34
rocionaizke1,218,2030,False,False,False,False,131,909,0.0,0.0,0.0,1.0,2,18-24
clarii_elove,3833,5400,False,False,False,True,983,396,0.02,0.12,0.13,0.23,0,18-24
melimansilla23,789,17044,False,True,True,False,649,3877,0.14,0.0,0.01,0.87,0,10-17
majo_floress,232,9074,False,False,False,False,314,5330,0.09,0.01,0.03,1.01,0,18-24
agus_gonzalez26,1038,104260,False,True,False,False,2110,14608,0.37,0.0,0.27,0.17,2,18-24
jvpf17,1932,13494,False,False,False,False,1027,8877,1.46,0.44,0.19,0.61,2,18-24
santifariasok,184,3738,False,False,False,False,286,2201,0.11,0.0,0.02,1.07,0,10-17
anamariallopis,3911,15389,False,False,False,False,17455,1291,0.89,0.67,0.2,0.06,2,65-xx
agusfiguere,782,37076,False,True,False,False,1315,7543,0.52,0.03,0.15,0.19,0,18-24
deviasofia18,37,96,False,True,False,False,23,163,0.88,0.02,0.0,0.06,2,10-17
alonsoguada,293,47871,False,False,False,False,638,3020,0.27,0.01,0.01,0.73,2,18-24
agussdrago,441,2343,False,False,False,True,267,3515,0.4,0.64,0.61,0.44,2,18-24
gildaglaria,138,194,False,False,False,False,146,133,0.27,0.03,0.52,0.11,1,35-49
ivansm96,120,7282,False,False,False,False,290,301,0.06,0.04,0.01,0.13,0,18-24
ani_0697,297,11185,False,False,False,False,441,2381,0.42,0.0,0.19,0.73,2,18-24
lucianacaneda,534,6047,False,True,False,True,410,1119,0.15,0.08,0.21,0.6,0,18-24
fabih10,1715,16709,False,False,True,False,1658,4805,0.4,1.23,0.66,0.76,2,18-24
lucasgallasina,716,22996,False,False,False,False,374,17118,0.38,0.12,0.2,1.38,0,18-24
oliverapipi,772,31935,False,False,True,True,1746,11048,0.25,0.0,0.07,0.55,2,10-17
maiikoldadamia,131,1096,False,False,False,False,189,849,0.2,0.0,0.0,0.82,1,10-17
ariarteagaok,297,2067,False,False,False,False,354,2572,0.52,0.21,0.09,0.68,2,18-24
matias11ce,450,4965,False,True,True,False,883,1058,0.23,0.0,0.07,0.55,1,10-17
martintf1,153,4914,False,False,False,False,1603,28,0.68,0.17,0.37,0.04,1,35-49
nicochicconi,699,28396,False,False,True,False,946,10105,0.2,0.02,0.14,0.34,0,18-24
tomyvelardez10,330,3015,False,False,False,False,106,1377,0.15,0.02,0.05,0.85,0,10-17
aldanagonzalezb,541,25456,False,True,False,False,598,6694,0.15,0.01,0.1,0.97,2,18-24
anavidalegea,288,206,False,False,False,False,388,174,0.39,0.93,0.4,0.11,2,25-34
fioventura,982,8140,False,False,False,False,697,5397,3.04,0.41,0.18,0.39,1,25-34
jurimarok,483,5170,True,False,False,False,248,3693,1.23,0.56,0.24,1.06,1,10-17
moveiter,884,2495,False,False,False,False,964,95,0.69,0.37,0.94,0.04,0,35-49
micaela59134889,94,45,False,False,False,False,20,35,0.89,0.11,0.0,1.57,0,18-24
pedroxfer,608,16852,False,True,True,False,732,6405,0.53,0.0,0.0,0.12,1,18-24
lajoya14,2058,14456,False,False,False,False,3176,1043,0.72,0.26,0.19,0.06,1,25-34
diegocastagno,1363,2524,False,False,False,False,755,3130,1.35,0.21,0.05,0.17,1,25-34
coloauteri97,515,63050,False,False,True,False,834,2633,0.22,0.0,0.0,0.25,2,18-24
iaann_1999,542,13692,False,False,True,True,1309,6317,0.28,0.0,0.06,0.4,0,18-24
gomez19_sophie,750,44085,False,False,False,False,826,10254,0.2,0.0,0.18,0.14,2,18-24
victoriacarrat2,97,4833,False,False,False,False,210,1135,0.11,0.0,0.05,0.12,2,10-17
julidorado15,843,22032,False,False,False,False,981,2919,0.04,0.12,0.01,1.09,0,10-17
vdgracia,38,4771,False,False,False,False,209,20,0.53,0.15,0.91,0.06,0,50-64
romiosenda,375,401,False,False,False,False,110,360,0.38,0.11,0.31,0.71,0,25-34
alan_corrarello,1388,17437,False,False,True,False,1138,13893,0.36,0.0,0.1,0.34,1,18-24
richard_cuelho,806,4541,False,False,True,False,252,3086,0.5,0.89,0.17,0.41,0,25-34
ezeborstelmann,219,5385,False,False,False,False,364,2111,0.21,0.0,0.0,0.44,1,18-24
maguicamposs,517,8937,False,False,False,True,905,3515,0.17,0.01,0.08,0.83,2,18-24
lucasvidela00,331,7842,False,False,True,False,371,3855,0.25,0.01,0.16,0.97,0,18-24
naruedyoh,2317,507239,False,False,False,False,173145,689,0.92,0.04,0.15,0.05,1,18-24
eduardo38313931,136,315,False,False,False,False,4,7,0.0,0.0,0.01,0.01,0,50-64
nahucatuok,493,6912,False,True,False,False,453,2474,0.48,0.01,0.17,0.76,1,18-24
pityporcel,544,8560,False,False,False,True,647,1547,0.1,0.0,0.02,1.67,2,10-17
conny_scaduto27,766,1323,False,False,True,False,124,1367,0.0,0.0,0.0,1.0,0,10-17
lfechegaray,749,4422,False,False,False,False,2005,1448,0.88,0.18,0.02,0.15,1,35-49
ssdiaz19,704,43323,False,False,False,False,1422,11546,0.14,0.01,0.05,0.17,2,18-24
sariskl,1723,72902,False,False,False,False,6651,22738,0.27,0.01,0.03,0.46,0,18-24
roohernande,2216,26783,False,False,False,False,1848,23338,0.1,0.01,0.04,1.19,1,18-24
juuanlarsen,248,3946,False,False,False,False,774,3893,3.45,0.0,0.0,0.31,0,18-24
tinamadx,164,507,False,False,False,True,108,285,0.07,0.72,0.86,0.26,2,18-24
gino_delu,103,9277,False,False,False,False,266,1400,0.29,0.01,0.01,0.04,1,18-24
andresabc80,1082,93,False,False,True,False,208,954,0.6,3.42,0.71,0.13,0,35-49
mapriconfcalsa,49,106,False,False,False,False,12,484,0.1,1.76,0.97,0.4,0,35-49
jes_lubrano,661,657,False,False,False,False,609,1641,1.6,0.1,0.36,0.31,2,25-34
pedrobiurrun,468,11515,False,False,False,False,3766,145,0.58,0.05,0.77,0.18,1,50-64
elenhitaes,630,4217,False,False,False,False,1793,299,0.94,0.56,0.58,0.08,2,35-49
juani_reyes17,146,463,False,False,False,False,94,320,0.1,0.04,0.02,0.28,0,10-17
gustavogon1998,270,13024,False,False,True,False,192,7648,0.29,0.02,0.18,0.04,0,18-24
macajfarias,255,285,False,False,False,False,111,97,0.01,0.05,0.1,1.01,0,18-24
gemaconga,507,4016,False,False,False,False,185858,104,0.96,0.33,0.33,0.17,2,35-49
cruuuz_emi,1438,21884,False,False,True,False,1805,5864,0.13,0.18,0.04,1.6,1,18-24
veroschinoni,367,21719,False,False,False,False,577,1000,0.0,0.01,0.02,0.35,2,18-24
yoleidycarvajal,960,8972,False,False,False,False,967,474,0.67,0.7,0.46,0.13,2,25-34
diegoisabel1,1919,4959,False,False,False,False,10948,1122,1.16,0.14,0.53,0.14,1,35-49
fgalarza_,286,619,False,True,False,False,1049,707,0.37,0.0,0.18,0.42,0,18-24
diaznap,430,1076,False,False,False,False,618,458,1.28,0.03,0.13,0.03,0,10-17
paaziibarbero99,431,127382,False,False,False,False,715,10489,0.31,0.0,0.03,0.16,2,10-17
julianaorellano,901,98047,False,False,True,False,2182,14801,0.47,0.01,0.03,0.92,0,18-24
helenaancos,2411,16822,False,False,False,False,5173,7173,0.73,0.64,0.89,0.06,2,35-49
alvaropereyraa,1131,68346,False,False,True,False,1840,17255,0.21,0.0,0.13,0.01,1,10-17
antoscodellaro,1277,30657,False,False,False,False,636,3013,0.23,0.0,0.01,0.46,2,18-24
teresa_perales,733,2763,False,False,False,False,34013,6668,1.13,0.37,0.28,0.98,2,35-49
jesusferre,552,11948,False,False,False,False,1602,593,1.04,0.33,0.28,0.12,0,35-49
iescolar,5083,64679,False,False,False,False,786281,2391,0.21,0.01,0.96,0.07,1,35-49
enzogroisman,665,3260,False,False,False,False,674,2222,0.29,0.15,0.27,0.24,0,10-17
lucilagav,821,16158,False,False,False,False,1219,1681,0.05,0.01,0.01,0.28,2,18-24
estudiosvet,59,200,False,False,False,False,104,145,1.34,1.33,0.38,0.21,0,10-17
abybeautyexpert,965,29,False,False,False,False,255,31,0.04,0.46,0.35,2.0,0,10-17
annto_b,883,1470,False,False,True,False,458,1687,0.67,0.62,0.07,1.5,1,18-24
agusalonso9,2358,47936,False,False,True,False,2170,13915,0.26,0.02,0.11,0.22,2,18-24
belencanceco,351,3122,False,False,False,False,138,5507,0.14,0.12,0.07,0.09,0,18-24
esperanzaguirre,3653,5557,False,False,False,False,565178,2882,0.44,0.12,0.17,0.08,2,50-64
silvakaren8,1083,16032,False,False,False,False,871,2470,0.04,0.21,0.27,0.29,0,18-24
sergiodanielve1,397,4214,False,False,False,False,434,2393,0.73,1.27,0.25,0.03,0,10-17
guillesensini,314,29606,False,False,False,True,484,1635,0.17,0.02,0.04,0.24,2,18-24
franco_queve2,284,64157,False,False,False,False,416,3933,0.18,0.0,0.06,0.44,1,18-24
melisosa13,724,17664,False,False,False,True,1110,5066,0.29,0.0,0.0,0.76,2,18-24
luistomala,1609,735325,False,False,False,False,1886,773,0.14,0.08,1.03,0.06,1,25-34
circuitoc56,167,412,False,False,False,False,79,173,0.85,0.0,0.04,0.01,0,10-17
campicindy2,239,3963,False,False,False,False,428,756,0.0,0.0,0.0,1.0,0,10-17
cocomendeguia54,5002,10016,False,False,False,False,1046,6090,0.5,0.22,0.2,1.1,0,25-34
andradaceleste,694,40388,False,False,False,False,801,5039,0.32,0.0,0.05,1.25,2,18-24
marusantose,765,21680,False,True,True,False,647,1802,0.22,0.0,0.1,0.68,0,18-24
vigelacoaching,257,1228,False,False,False,False,618,420,0.99,0.32,0.43,0.06,0,35-49
chocholita17,734,13260,False,False,False,True,512,741,0.09,0.01,0.09,0.77,2,18-24
ludmiilaayelenl,1131,33752,False,True,True,True,1717,3445,0.01,0.0,0.01,0.21,0,18-24
azul_cabrera,430,35721,False,False,False,False,626,4203,0.33,0.0,0.12,0.4,2,18-24
antoalonso1,630,37468,False,False,False,False,1004,1693,0.3,0.05,0.09,0.46,0,18-24
vanemtl,653,39641,False,False,False,False,1477,13671,0.33,0.08,0.16,0.59,0,18-24
roominalucia,217,19471,False,True,True,True,412,1597,0.08,0.0,0.1,0.47,0,10-17
amapolaa21,89,10307,False,False,False,False,233,9361,0.34,0.01,0.13,0.37,2,18-24
ovibarcelo,659,5671,False,False,False,False,1865,3553,1.32,0.56,0.56,0.28,1,35-49
cammiali,191,7863,False,False,False,True,465,203,0.1,0.16,0.1,1.24,1,18-24
abbriguzman,337,924,False,False,False,True,255,249,0.07,0.07,0.09,0.4,2,10-17
gonzalobgrosso,238,9581,False,False,True,False,366,9309,0.36,0.01,0.03,0.25,0,18-24
_wildgal,2784,31051,False,True,False,False,4209,6111,0.19,0.01,0.13,0.07,0,10-17
fernand0,3103,64819,False,False,False,False,6011,2035,0.36,0.01,0.48,0.11,1,35-49
anyelenfiege,3364,18681,False,False,False,False,4011,24910,0.2,0.03,0.1,1.15,0,10-17
ellniiicoo,539,14590,False,False,False,True,437,1044,0.06,0.02,0.03,1.97,0,18-24
carolinagavilan,544,2018,False,False,False,False,642,1141,0.82,0.2,0.71,0.21,2,35-49
hectormilla,737,16814,False,False,False,False,3991,1682,0.38,0.21,0.81,0.09,1,50-64
aldiibogado1,1136,33883,False,False,False,False,1519,5218,0.16,0.0,0.02,0.36,2,18-24
aldanacumler,3577,5275,False,False,False,False,3027,3028,0.29,0.02,0.06,0.34,2,10-17
astrosgarbuyo,640,308,False,False,False,False,185,332,0.63,0.14,0.37,0.14,0,25-34
simooseijas,412,26924,False,False,False,False,476,1948,0.4,0.02,0.05,0.54,1,18-24
juanppineiro,2400,7197,False,False,False,False,861,20709,0.96,0.13,0.19,0.22,1,25-34
aguswinehouse,351,9212,False,False,False,False,363,5484,0.0,0.0,0.0,1.0,1,18-24
ojecua,402,1055,False,False,False,False,328,44,0.81,0.28,0.24,0.12,2,25-34
yaaamicuevas,699,28608,False,False,False,True,650,78,0.17,0.03,0.14,0.61,2,18-24
heteronima,977,3237,False,False,False,False,432,1028,0.68,0.91,0.35,0.16,0,25-34
clauditah_nn,28,1170,False,False,True,False,58,2494,0.65,0.21,0.28,0.63,0,10-17
tereamor,1605,45723,False,False,False,False,2246,1652,0.89,0.21,0.41,0.3,2,35-49
enzosantander14,518,9566,False,False,False,False,585,7765,0.55,0.0,0.06,1.12,1,10-17
castillofran20,5001,24881,False,False,False,False,1987,22327,1.07,0.18,0.43,0.42,1,18-24
sebbasok,571,35330,False,False,True,False,1018,4,0.2,0.02,0.17,0.32,1,18-24
dannyailen,1242,1642,False,False,False,True,401,111,0.21,0.01,0.05,0.21,2,18-24
emiiyane,149,135,False,False,False,False,37,93,0.1,0.18,0.62,2.02,0,25-34
forrainmaduraok,1085,4103,False,False,False,True,951,2352,0.2,0.0,0.0,1.0,2,10-17
apu_mederosturu,861,1761,False,False,False,False,2206,2381,0.97,0.43,0.09,0.07,0,18-24
patitolujan75,1471,38906,False,False,True,False,1449,17375,0.32,0.02,0.11,0.94,0,18-24
agusvidall2,538,74902,False,True,True,True,4067,788,0.26,0.0,0.03,0.99,2,18-24
luvsayal,50,1158,False,False,False,False,631,2126,0.75,0.09,0.03,0.37,0,35-49
ferper121201,538,18954,False,True,False,False,988,8595,0.33,0.0,0.11,0.37,0,10-17
lucasclemente88,2182,15909,False,False,False,True,1345,2659,0.01,0.02,0.09,0.41,1,10-17
javiercarrizo2,8023,119128,False,False,False,False,7496,12,0.87,0.01,0.76,0.05,0,25-34
nicoocanalla,331,1843,False,False,False,False,85,1593,0.55,0.6,0.16,0.21,0,18-24
aylenlavalletto,840,16892,False,False,False,True,899,4180,0.49,0.0,0.02,0.76,0,18-24
ebdtraining,141,824,False,False,False,False,160,1,0.17,0.29,0.25,0.02,1,25-34
pablo_astudillo,174,2494,False,False,False,False,105,33,0.29,0.07,0.27,0.27,1,25-34
martinfagundez,321,8521,False,False,False,False,509,2331,0.28,0.11,0.24,0.96,1,18-24
carmechaparro,3322,28439,False,False,False,False,123326,6524,0.92,0.12,0.27,0.45,0,35-49
fede_matzner,374,110,False,False,False,False,40,507,0.9,0.28,0.16,0.5,1,18-24
015edith,178,1611,False,False,True,False,181,2244,0.29,0.02,0.04,1.16,2,10-17
wolfhardbebito,157,1225,False,False,True,False,74,657,0.55,0.12,0.18,0.9,0,10-17
luusimonini,202,1399,False,False,False,False,222,376,0.12,0.0,0.01,1.65,1,18-24
gonzacarraro,273,6210,False,False,False,True,299,1552,0.25,0.0,0.0,0.35,0,18-24
lautakischi_,261,28919,False,False,False,False,343,8671,0.38,0.05,0.04,0.64,1,18-24
gonzalezsoff,758,5549,False,False,False,False,923,3230,0.45,0.0,0.0,1.47,0,10-17
avecillamili,254,16415,False,False,False,False,498,6339,0.16,0.02,0.1,1.11,2,18-24
catii_menna,310,6412,False,False,False,False,205,1163,0.29,0.01,0.03,0.95,0,10-17
miligimenezntvg,1794,17674,False,False,True,False,1792,720,0.09,0.06,0.03,0.13,2,18-24
yamilagalvan3,2444,80146,False,False,False,False,1932,23683,0.2,0.0,0.23,1.03,0,10-17
_franciscost,648,22228,False,True,True,False,1990,7486,0.26,0.0,0.04,0.34,0,18-24
juanjomorodo,193,4558,False,False,False,False,1976,39,0.27,2.0,0.13,0.06,1,50-64
ailudisipulo,466,25170,False,False,False,False,510,6528,0.14,0.0,0.05,0.14,0,18-24
_anitaquiroga,3717,55043,False,False,True,False,4363,19617,0.26,0.0,0.14,0.25,0,18-24
shoaburgos,362,6479,False,False,False,False,438,1266,0.25,0.05,0.02,0.47,0,18-24
leogomez9999,490,28764,False,False,False,False,739,4271,0.36,0.04,0.02,1.05,1,10-17
facubringa,472,10128,False,False,False,True,496,9705,0.15,0.05,0.26,0.1,0,18-24
sebatorok,494,14952,False,False,False,False,11465,4652,1.31,1.33,0.26,0.22,1,10-17
sosafranco16,108,946,False,False,False,False,116,572,0.17,0.0,0.04,0.41,0,18-24
lourbolo,929,10975,False,False,False,False,977,5108,0.0,0.0,0.0,1.0,0,18-24
anayfranco2015,56,90,False,False,True,False,4,52,0.18,0.37,0.43,2.38,2,18-24
naturalfotoar,44,242,False,False,False,False,44,204,0.21,3.29,0.75,0.11,0,10-17
thaliguiniazu,454,94021,False,False,True,False,1305,1428,0.2,0.0,0.0,0.91,2,18-24
romii_rodrilu,228,3295,False,False,False,False,158,2565,0.13,0.0,0.11,0.85,2,10-17
alvarezbrogan,278,33648,False,False,True,False,1058,9967,0.35,0.0,0.15,0.27,1,18-24
pilarajev,96,1776,False,False,False,False,435,430,1.94,0.33,0.13,0.08,2,35-49
jonisuarez,988,9804,False,False,True,False,341,2711,0.42,0.05,0.2,0.08,0,25-34
tinch0o,1046,3858,False,False,True,False,1265,4856,0.17,0.31,0.23,0.41,1,18-24
guilleceentral,3166,9985,False,False,True,False,1905,6014,0.08,0.05,0.07,0.75,0,18-24
oriigartland,589,6567,False,False,False,False,659,1386,0.16,0.01,0.03,0.66,0,10-17
pas_de_bourre,205,12333,False,False,False,False,313,2152,0.3,0.03,0.04,0.67,2,18-24
pcvillarcayo,345,4902,False,False,False,False,614,1813,1.29,1.28,0.39,0.21,1,35-49
fran_sacco,147,563,False,False,False,False,236,489,0.28,0.02,0.03,1.08,1,25-34
rorro_d,1181,44011,False,False,False,False,1225,6018,0.37,0.46,0.05,0.86,1,25-34
luuli_espeche15,692,2010,False,False,False,False,267,820,0.24,0.01,0.1,1.28,2,10-17
